
cpu-opt/mmm_vect_omp
optimization level, 128+64, 256+64, 512+64, 1024+64, 2048+64, 4096+64, 8192+64, 16384+64
O, 0.00107969, 0.00510601, 0.0284605, 0.138949, 0.859028, 5.79606, 45.3468, 370.512

cpu-opt/mmm_kij_omp
optimization level, 128+64, 256+64, 512+64, 1024+64, 2048+64, 4096+64, 8192+64, 16384+64
O, 0.0120809, 0.046743, 0.195151, 1.10295, 7.336, 56.0839, 449.193, 
cpu-opt/mmm_vect_omp
optimization level, 128+64, 256+64, 512+64, 1024+64, 2048+64, 4096+64, 8192+64, 16384+64
O, 0.00108301, 0.00511305, 0.0283778, 0.138554, 0.871809, 5.73692, 46.1163, 

cpu-opt/mmm_vect_omp
optimization level, 128+64, 256+64, 512+64, 1024+64, 2048+64, 4096+64, 8192+64, 16384+64
O, 0.00110097, 0.00521419, 0.0281719, 0.13499, 0.862141, 5.89575, 46.2886, 372.395

cpu-opt/mmm_kij_omp
optimization level, 128+64, 256+64, 512+64, 1024+64, 2048+64, 4096+64, 8192+64, 16384+64
O, 0.0124077, 0.0467567, 0.193205, 1.10728, 7.33641, 56.1044, 448.705, 3856.81

cpu-opt/mmm_vect
optimization level, 128+64, 256+64, 512+64, 1024+64, 2048+64, 4096+64, 8192+64, 16384+64
O, 0.00797644, 0.0326895, 0.149391, 0.863489, 5.27655, 39.8651, 316.26, 2597.55

cpu-opt/mmm_kij
optimization level, 128+64, 256+64, 512+64, 1024+64, 2048+64, 4096+64, 8192+64, 16384+64
O, 0.0508757, 0.162416, 0.840317, 4.5373, 33.1598, 253.846, 1988.64,


 

cpu-opt/mmm_vect_omp
optimization level, 128+64, 256+64, 512+64, 1024+64, 2048+64, 4096+64, 8192+64, 16384+64
O3, 0.000155422, 0.0006703, 0.00449872, 0.025291, 0.135252, 0.86246, 6.56603, 115.96

cpu-opt/mmm_kij_omp
optimization level, 128+64, 256+64, 512+64, 1024+64, 2048+64, 4096+64, 8192+64, 16384+64
O3, 0.00173068, 0.00365044, 0.0123249, 0.0723072, 0.350219, 11.4513, 90.6282, 705.696

cpu-opt/mmm_vect
optimization level, 128+64, 256+64, 512+64, 1024+64, 2048+64, 4096+64, 8192+64, 16384+64
O3, 0.000819484, 0.00523835, 0.0253664, 0.134234, 0.850132, 5.41228, 51.0985, 551.159

cpu-opt/mmm_kij
optimization level, 128+64, 256+64, 512+64, 1024+64, 2048+64, 4096+64, 8192+64, 16384+64
O3, 0.00453163, 0.0161527, 0.0672036, 0.382607, 2.23622, 33.4008, 262.155, 2064.88

cpu-opt/mmm_bkij
optimization level, 128+64, 256+64, 512+64, 1024+64, 2048+64, 4096+64, 8192+64, 16384+64
O3, 0.00485088, 0.0137378, 0.0542782, 0.325436, 1.65606, 12.618, 101.414, 806.458

cpu-opt/mmm_bbkij
optimization level, 128+64, 256+64, 512+64, 1024+64, 2048+64, 4096+64, 8192+64, 16384+64
O3, 0.00528722, 0.0112494, 0.0640227, 0.339506, 2.05035, 14.8449, 116.678, 922.607

cpu-opt/mmm_ijk_omp
optimization level, 128+64, 256+64, 512+64, 1024+64, 2048+64, 4096+64, 8192+64, 16384+64
O3, 0.00181749, 0.00849284, 0.04944, 0.295536, 2.83039, 18.8322, 155.068, 1295.61

cpu-opt/mmm_ijk
optimization level, 128+64, 256+64, 512+64, 1024+64, 2048+64, 4096+64, 8192+64, 16384+64
O3, 0.0237725, 0.093546, 0.447925, 2.45037, 21.3577, 197.012, 1547.8, 12464.8
