
gpu-opt/mmm_global
block sizes: 1, 2, 4, 8, 16, 32
192, 0.006904, 0.002101, 0.000831, 0.000491, 0.000408, 0.000423
320, 0.031052, 0.008950, 0.003133, 0.001579, 0.001199, 0.001214
576, 0.178286, 0.050054, 0.016208, 0.007205, 0.005053, 0.004695
1088, 1.531407, 0.412643, 0.115601, 0.041932, 0.027377, 0.024545
2112, 11.142147, 3.006334, 0.826681, 0.292794, 0.183444, 0.161038
4160, 85.144859, 22.976588, 6.301599, 2.202525, 1.361996, 1.190679
8256, 672.488625, 184.370344, 49.260770, 17.633836, 10.598874, 10.282102
16448, 5342.701500, 1464.267125, 392.997969, 196.805016, 142.247406, 113.838313
32832, , , , , , 
65600, , , , , , 
131136, , , , , , 

gpu-opt/mmm_shared
block sizes: 1, 2, 4, 8, 16, 32
192, 0.022376, 0.003488, 0.000617, 0.000358, 0.000330, 0.000312
320, 0.102605, 0.015381, 0.002159, 0.001013, 0.000833, 0.000781
576, 0.595486, 0.087486, 0.010688, 0.003896, 0.002916, 0.002451
1088, 4.689910, 0.667786, 0.075194, 0.019404, 0.012904, 0.009956
2112, 34.293121, 4.864897, 0.532890, 0.130438, 0.077966, 0.061275
4160, 262.461656, 37.896730, 4.032215, 0.950438, 0.545447, 0.421932
8256, 2079.266625, 297.468500, 31.610838, 7.284705, 4.101270, 3.151155
16448,            , 2350.695500, 254.354109, 59.743617, 32.145777, 24.823229
