
mmm_ijk
optimization level, 8, 16, 32, 64, 128, 256, 512, 1024
O0, 1.795e-06, 1.1871e-05, 8.8968e-05, 0.000700458, 0.00583236, 0.0582603, 0.536165, 7.15096
O1, 4.44e-07, 5.557e-06, 2.0203e-05, 0.000199967, 0.00165984, 0.0180273, 0.189999, 2.89133
O2, 4.96e-07, 2.89e-06, 2.0945e-05, 0.000192319, 0.00164658, 0.0193272, 0.189339, 4.0405
O3, 8.65e-07, 2.814e-06, 3.6941e-05, 0.000192209, 0.00167841, 0.0180028, 0.189705, 2.89656

mmm_ijk_omp
optimization level, 8, 16, 32, 64, 128, 256, 512, 1024
O0, 2.7399e-05, 9.3109e-05, 8.8884e-05, 0.000395382, 0.00399259, 0.0301537, 0.245429, 2.57004
O1, 3.1466e-05, 4.0604e-05, 4.8432e-05, 0.000110546, 0.000773964, 0.00730715, 0.065392, 0.761031
O2, 4.6236e-05, 4.4007e-05, 3.7972e-05, 0.000182599, 0.000673892, 0.00742378, 0.0705287, 0.818206
O3, 5.4489e-05, 3.7776e-05, 4.0482e-05, 0.000146115, 0.000663326, 0.00861008, 0.116723, 1.00855

mmm_bbkij
optimization level, 8, 16, 32, 64, 128, 256, 512, 1024
O0, 5.667e-06, 2.2299e-05, 0.000135031, 0.000952713, 0.00737707, 0.0571032, 0.453473, 3.62805
O1, 1.933e-06, 6.433e-06, 3.5821e-05, 0.000246743, 0.00194943, 0.0148661, 0.119678, 0.938099
O2, 9.38e-07, 4.948e-06, 2.647e-05, 0.000166979, 0.00135188, 0.00994847, 0.0885279, 0.719194
O3, 6.08e-07, 2.645e-06, 1.5437e-05, 0.000101935, 0.000347464, 0.00253598, 0.0233347, 0.240381

mmm_bkij
optimization level, 8, 16, 32, 64, 128, 256, 512, 1024
O0, 3.102e-06, 1.795e-05, 0.000134112, 0.00103693, 0.00812189, 0.0627158, 0.498435, 3.9322
O1, 1.122e-06, 4.002e-06, 2.2819e-05, 0.000174636, 0.00129009, 0.0118141, 0.0931158, 0.732614
O2, 9.17e-07, 3.228e-06, 2.2094e-05, 0.000167541, 0.00128353, 0.0116019, 0.0929672, 0.724567
O3, 4.54e-07, 2.144e-06, 2.2423e-05, 8.5047e-05, 0.000397446, 0.00286003, 0.0280252, 0.250503

mmm_kij
optimization level, 8, 16, 32, 64, 128, 256, 512, 1024
O0, 2.015e-06, 1.2931e-05, 0.000104928, 0.000799738, 0.00612397, 0.0486145, 0.377416, 3.06821
O1, 5.95e-07, 2.711e-06, 2.835e-05, 0.000174577, 0.00127222, 0.0101485, 0.0790696, 0.682959
O2, 5.71e-07, 1.2373e-05, 2.9266e-05, 0.000173623, 0.00130405, 0.0101909, 0.0792189, 0.683271
O3, 1.041e-06, 4.265e-06, 1.8461e-05, 5.8521e-05, 0.000395697, 0.00325336, 0.0291118, 0.276923

mmm_kij_omp
optimization level, 8, 16, 32, 64, 128, 256, 512, 1024
O0, 4.8374e-05, 3.9716e-05, 0.00011917, 0.000538439, 0.00389716, 0.0305606, 0.200284, 1.35501
O1, 3.8967e-05, 3.3409e-05, 5.2228e-05, 0.000230207, 0.00128297, 0.00904705, 0.0590518, 0.38252
O2, 4.7077e-05, 4.0509e-05, 6.8541e-05, 0.000113024, 0.000580139, 0.00492557, 0.0318543, 0.237026
O3, 6.6421e-05, 5.415e-05, 6.6075e-05, 0.000106699, 0.000450065, 0.00283313, 0.0125191, 0.105466
