
mmm_ijk
optimization level, 64, 128, 256, 512, 1024, 2048
O0, 0.00125261, 0.0124607, 0.0886836, 0.839061, 6.48111, 49.6302
O1, 0.000359838, 0.00231149, 0.0272211, 0.306266, 2.48412, 19.7904
O2, 0.000325207, 0.00342001, 0.0330107, 0.304977, 2.47869, 19.7558
O3, 0.000331566, 0.00341187, 0.0327277, 0.305048, 2.50252, 19.7552

mmm_ijk_omp
optimization level, 64, 128, 256, 512, 1024, 2048
O0, 0.000180309, 0.00145754, 0.0133434, 0.0969045, 0.577008, 4.2723
O1, 4.2385e-05, 0.000309984, 0.00296088, 0.0316484, 0.186497, 1.32043
O2, 5.334e-05, 0.000442903, 0.00421467, 0.0320713, 0.186656, 1.31307
O3, 5.1575e-05, 0.000460552, 0.00413077, 0.0320955, 0.186392, 1.30812

mmm_bbkij
optimization level, 64, 128, 256, 512, 1024, 2048
O0, 0.00136082, 0.0103811, 0.0811434, 0.672851, 5.30616, 41.3904
O1, 0.000356024, 0.0025483, 0.0189588, 0.150151, 1.24613, 9.78739
O2, 0.000174959, 0.000973269, 0.0108727, 0.0879612, 0.85509, 6.21225
O3, 0.000128924, 0.000442955, 0.00318843, 0.0312908, 0.308394, 2.54365

mmm_bkij
optimization level, 64, 128, 256, 512, 1024, 2048
O0, 0.00175146, 0.0120607, 0.0964469, 0.752171, 5.8976, 46.5706
O1, 0.000246435, 0.00195571, 0.014864, 0.125702, 1.00517, 7.75472
O2, 0.000241401, 0.00177972, 0.0147354, 0.120115, 0.959476, 7.39681
O3, 9.333e-05, 0.000471367, 0.00392193, 0.0369335, 0.335979, 2.48431

mmm_vect
optimization level, 64, 128, 256, 512, 1024, 2048
O0, 0.00017055, 0.00117604, 0.00983487, 0.0988454, 0.752712, 6.06433
O1, 2.9175e-05, 0.000136744, 0.00117917, 0.0111654, 0.146876, 1.17492
O2, 2.0393e-05, 0.000125159, 0.00115085, 0.010559, 0.139149, 1.1247
O3, 2.0582e-05, 0.000127635, 0.00181008, 0.0108174, 0.139747, 1.12344

mmm_vect
optimization level, 64, 128, 256, 512, 1024, 2048
O0, 0.000160257, 0.00117981, 0.00978417, 0.0849941, 0.777373, 6.06708
O1, 3.5173e-05, 0.000137128, 0.00118461, 0.0112878, 0.145261, 1.17805
O2, 2.9276e-05, 0.000134273, 0.00112588, 0.0105805, 0.141262, 1.15517
O3, 2.6768e-05, 0.00014373, 0.00113558, 0.0109755, 0.14018, 1.12001

mmm_kij_omp
optimization level, 64, 128, 256, 512, 1024, 2048
O0, 0.000881779, 0.00260853, 0.0148083, 0.0970505, 0.453459, 3.37627
O1, 0.00058543, 0.00159927, 0.00584551, 0.0324191, 0.162996, 1.03537
O2, 0.000579567, 0.00137999, 0.00343347, 0.014643, 0.0762078, 0.389038
O3, 0.000540494, 0.00123482, 0.00238416, 0.00769521, 0.0348994, 0.178758

mmm_vect_omp
optimization level, 64, 128, 256, 512, 1024, 2048
O0, 4.4805e-05, 0.000213249, 0.00164276, 0.0121164, 0.0835278, 0.461053
O1, 3.0213e-05, 7.4517e-05, 0.000384198, 0.00255215, 0.0230234, 0.125941
O2, 3.228e-05, 6.662e-05, 0.000351533, 0.00221623, 0.0207048, 0.115203
O3, 4.6505e-05, 7.9439e-05, 0.000404709, 0.00220213, 0.0206969, 0.118771
